Position (mm),Voltage (V)
0,-0.62
0.05,-0.62
0.1,-0.62
0.15,-0.62
0.2,-0.62
0.25,-0.62
0.3,-0.62
0.35,-0.62
0.4,-0.61
0.45,-0.62
0.5,-0.65
0.55,-0.81
0.6,-1.16
0.65,-1.52
0.7,-1.89
0.75,-2.26
0.8,-2.65
0.85,-3.03
0.9,-3.4
0.95,-3.8
1,-4.21
1.05,-4.56
1.1,-4.94
1.15,-5.33
1.2,-5.7
1.25,-6.1
1.3,-6.49
1.35,-6.88
1.4,-7.27
1.45,-7.64
1.5,-8.03
1.55,-8.41
1.6,-8.8
1.65,-9.19
1.7,-9.57
1.75,-9.95
1.8,-10.34
1.85,-10.72
1.9,-11.09
1.95,-11.46
2,-11.87
2.05,-12.22
2.1,-12.6
2.15,-12.98
2.2,-13.35
2.25,-13.73
2.3,-14.12
2.35,-14.5
2.4,-14.88
2.45,-15.25
2.5,-15.64
2.55,-16.01
2.6,-16.4
2.65,-16.76
2.7,-17.14
2.75,-17.52
2.8,-17.9
2.85,-17.93
2.9,-17.92
2.95,-17.91
3,-17.91
3.05,-17.91
3.1,-17.91
3.15,-17.92
3.2,-17.92
3.25,-17.92
3.3,-17.93
3.35,-17.93
3.4,-17.93
3.45,-17.93
3.5,-17.93
