,t,x,y,x0,y0,vx,vy,r,theta,angle,omega,alpha
0,0.0,0.4151583618,0.042344968430000005,0.4865229589,0.8463071312,-0.07136459710000004,-0.80396216277,0.8071233269365106,0.08853406826181268,5.072628454524999,,
1,0.033366666669999996,0.4163576639,0.04240868386,0.4865146351,0.8463523915000001,-0.07015697119999997,-0.8039437076400001,0.8069990617478484,0.0870455103917675,4.9873403710104265,-0.04461212397292116,
2,0.06673333332999999,0.4195025674,0.04237153904,0.48651002130000004,0.8463680385,-0.06700745390000001,-0.80399649946,0.8067839673804224,0.08315079932751247,4.764189864605708,-0.1167246073436521,-2.1612132882659054
3,0.1001,0.4225598682,0.042344852350000003,0.4865139103,0.8463680051000001,-0.0639540421,-0.8040231527500001,0.8065626755925286,0.07937541625230848,4.547876348351398,-0.11314834390090392,0.10718072254917818
4,0.1334666667,0.4270876585,0.04233134232,0.48651745609999997,0.8463680158,-0.059429797599999945,-0.80403667348,0.8062300373612739,0.07378012087200424,4.227289537930918,-0.16769117007136491,-1.6346501333458343
5,0.1668333333,0.43213686939999996,0.04235650183999999,0.4865173094,0.8463686579,-0.05438044000000003,-0.8040121560600001,0.80584910457656,0.06753348464782179,3.8693836461317273,-0.18721187522467253,-0.5850361196496509
6,0.2002,0.438843414,0.04236508358,0.4865172879,0.8463703669,-0.0476738739,-0.80400528332,0.8054174655786317,0.05922612627665034,3.393407072560929,-0.24897177910706467,-1.850946168452366
7,0.2335666667,0.445815915,0.04237312384,0.4865146619,0.8463700085,-0.04069874689999997,-0.80399688466,0.8050263216455817,0.05057735714464054,2.8978691033137434,-0.2592038698312587,-0.30665606535381107
8,0.26693333329999996,0.45303508159999994,0.04243066444,0.48651448630000005,0.8463769215000001,-0.033479404700000104,-0.8039462570600001,0.8046430604807638,0.04161978626234106,2.3846380970687058,-0.2684586683375646,-0.27736658915475565
9,0.3003,0.460650054,0.042556367149999996,0.4865154239,0.8463819644,-0.025865369900000046,-0.80382559725,0.8042416354270544,0.03216673917157508,1.8430183952293941,-0.2833081043353355,-0.44503804144664133
10,0.3336666667,0.4694781133,0.04269554154,0.486509559,0.8463974134000001,-0.01703144569999998,-0.8037018718600001,0.8038823103999118,0.021188076762723634,1.2139873745032763,-0.3290308410954172,-1.3703117896424972
11,0.3670333333,0.4780151622,0.04306613215,0.48651683630000003,0.8463976740000001,-0.008501674100000023,-0.8033315418500001,0.8033765272856813,0.010582625331761644,0.6063397676781748,-0.3178456978666846,0.33521907845396226
12,0.4004,0.4866885059,0.043974272110000004,0.48651989619999997,0.8464170153,0.00016860970000004416,-0.80244274319,0.8024427609041802,-0.00021012053376961328,-0.012039019774034931,-0.3234589167257531,-0.16822833726656056
13,0.4337666667,0.4955942469,0.04473070607,0.4865209505,0.8463939709,0.009073296399999986,-0.80166326483,0.8017146093750924,-0.01131760603316256,-0.6484510598920123,-0.33289167297592037,-0.2826999872350824
14,0.4671333333,0.50409037,0.045200615980000004,0.4865261235,0.8464060795999999,0.01756424649999999,-0.8012054636199999,0.8013979646153662,-0.021918764158904057,-1.2558526784478181,-0.31771702738029883,0.4547845841940215
15,0.5005,0.512506066,0.046623305159999996,0.4865261133,0.8464261206,0.02597995270000003,-0.79980281544,0.8002246569108233,-0.03247152981608942,-1.8604816127951378,-0.3162667026965981,0.04346627419336175
16,0.5338666667,0.5201023153000001,0.04721635802,0.4865375636,0.8464291597,0.03356475170000006,-0.79921280168,0.7999173050546399,-0.04197259976677466,-2.4048528218279714,-0.28474735088492403,0.9446359174880958
17,0.5672333333,0.5271869043999999,0.047845803810000004,0.48654253560000005,0.8464311444,0.040644368799999886,-0.79858534059,0.7996189785894259,-0.05085158320236814,-2.9135810990540456,-0.26610340019981166,0.5587597619089821
18,0.6006,0.5339173003000001,0.04915170074,0.4865308152,0.8464173207,0.04738648510000004,-0.79726561996,0.7986726161202321,-0.05936641646112526,-3.401445108038454,-0.255189807699824,0.32708069397856987
19,0.6339666667,0.5397105538,0.04976256239,0.48652907380000004,0.8464098320000001,0.05318147999999995,-0.7966472696100001,0.798420404293414,-0.06665771973611209,-3.8192060128451146,-0.21852057745363077,1.0989779283584615
20,0.6673333333,0.5454600888000001,0.05073472736,0.4865175026,0.8464252390000001,0.05894258620000009,-0.7956905116400002,0.7978706779810056,-0.07394222280840096,-4.236577294737348,-0.2183167758294702,0.006107940796236449
21,0.7007,0.5497997336,0.051821272,0.48651429409999997,0.8464123647,0.06328543950000004,-0.7945910927000001,0.7971073023444762,-0.07947752336007588,-4.553726654684757,-0.16589312326109346,1.5711384370431214
22,0.7340666667,0.5527717559,0.052010128729999994,0.48651481539999997,0.8464020466,0.06625694050000008,-0.79439191787,0.7971502376224932,-0.08321325720493915,-4.767768437379603,-0.11196005517875925,1.6163756651884627
23,0.7674333333,0.5550754021000001,0.05222210486000001,0.4865192971,0.8464027973,0.06855610500000003,-0.79418069244,0.7971341868074967,-0.08610959337544032,-4.9337162760004025,-0.08680328200663502,0.7539492474242014
24,0.8008,0.5567847884,0.05252336907,0.4865176802,0.8464062515999999,0.07026710819999998,-0.79388288253,0.7969865103431376,-0.08828061840484962,-5.058106847402821,-0.06506568513208129,0.6514764291559797
25,0.8341666667000001,0.5571523952,0.052270233719999996,0.48651421729999994,0.8463994514000001,0.0706381779000001,-0.7941292176800001,0.7972646778517665,-0.08871699332055437,-5.08310928835808,-0.013078169288775556,1.5580674063347648
