Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,8.797678533E-1,1.517310534E-1,,,,
3.336666667E-2,8.797691887E-1,1.517376934E-1,-1.780804746E-4,-2.616148221E-4,,
6.673333333E-2,8.797559694E-1,1.517135950E-1,-2.341613942E-2,-1.523486366E-2,-1.577577281E0,-9.048754611E-1
1.001000000E-1,8.782065517E-1,1.507210202E-1,-1.038054260E-1,-6.035511814E-2,-2.990135406E0,-1.639929987E0
1.334666667E-1,8.728286873E-1,1.476858968E-1,-2.266997938E-1,-1.262969191E-1,-3.834688602E0,-2.032497078E0
1.668333333E-1,8.630781188E-1,1.422928058E-1,-3.604818041E-1,-1.967031003E-1,-4.442618124E0,-2.251062338E0
2.002000000E-1,8.487725350E-1,1.345592432E-1,-5.202401562E-1,-2.752762011E-1,-4.509289328E0,-1.995900555E0
2.335666667E-1,8.283607590E-1,1.239227073E-1,-6.695374138E-1,-3.349976103E-1,-4.167099009E0,-1.311167169E0
2.669333333E-1,8.040920715E-1,1.122037360E-1,-7.924619509E-1,-3.599475919E-1,-4.272047843E0,-8.090330353E-1
3.003000000E-1,7.754771315E-1,9.990220463E-2,-9.515537376E-1,-3.866032339E-1,-4.175484465E0,-2.464107206E-1
3.336666667E-1,7.405917188E-1,8.640441355E-2,-1.083257011E0,-3.832989093E-1,-3.742832270E0,3.137739583E-1
3.670333333E-1,7.031877803E-1,7.432339076E-2,-1.188974025E0,-3.576663025E-1,-2.972637237E0,1.087391192E0
4.004000000E-1,6.612475188E-1,6.253614896E-2,-1.290822687E0,-3.176031689E-1,-2.838632408E0,1.720044515E0
4.337666667E-1,6.170468796E-1,5.312867262E-2,-1.371662400E0,-2.393996261E-1,-1.618833753E0,2.479168466E0
4.671333333E-1,5.697119146E-1,4.656021392E-2,-1.408833047E0,-1.515690293E-1,-6.312203613E-1,2.592664207E0
5.005000000E-1,5.230307542E-1,4.301396607E-2,-1.403621774E0,-6.536570445E-2,-4.032855297E-1,2.503835388E0
5.338666667E-1,4.760435549E-1,4.219814257E-2,-1.434674560E0,1.509181706E-2,-6.477796451E-1,2.390054918E0
5.672333333E-1,4.272901386E-1,4.402109332E-2,-1.454680101E0,9.396462143E-2,-4.019505835E-1,2.348345880E0
6.006000000E-1,3.789679029E-1,4.846871498E-2,-1.454914501E0,1.718810133E-1,1.197603814E0,2.370933032E0
6.339666667E-1,3.301988442E-1,5.549128628E-2,-1.388097842E0,2.517001823E-1,3.502794875E0,1.959939247E0
6.673333333E-1,2.863355068E-1,6.526550714E-2,-1.213624317E0,3.069418874E-1,4.531616370E0,1.197080932E0
7.007000000E-1,2.492096482E-1,7.597454157E-2,-1.073008600E0,3.286038307E-1,3.413489839E0,6.501706762E-1
7.340666667E-1,2.147300663E-1,8.719433611E-2,-9.944777075E-1,3.487333108E-1,2.498328126E0,3.059810660E-1
7.674333333E-1,1.828448358E-1,9.924667784E-2,-9.076888594E-1,3.527084412E-1,3.847535332E0,-4.556599077E-1
8.008000000E-1,1.541569630E-1,1.107317461E-1,-7.458574804E-1,3.178762685E-1,4.559174280E0,-1.058032135E0
8.341666667E-1,1.330712799E-1,1.204596208E-1,-5.845116116E-1,2.777623960E-1,5.024302469E0,-1.472754787E0
8.675333333E-1,1.151505548E-1,1.292677566E-1,-4.287666139E-1,2.249885111E-1,4.414542374E0,-1.882895670E0
9.009000000E-1,1.044582546E-1,1.354738541E-1,-2.725800974E-1,1.483211880E-1,4.594937553E0,-2.394424757E0
9.342666667E-1,9.696037634E-2,1.391657239E-1,-1.365263211E-1,6.633618891E-2,4.416827854E0,-2.527436600E0
9.676333333E-1,9.534739808E-2,1.399006891E-1,2.941849968E-2,-2.141467710E-2,4.918824542E0,-2.700193644E0
1.001000000E0,9.892357088E-2,1.377366511E-1,1.895717950E-1,-1.130534216E-1,4.842482084E0,-2.466781806E0
1.034366667E0,1.079981559E-1,1.323562575E-1,3.533759939E-1,-1.895527469E-1,4.659764684E0,-2.110770319E0
1.067733333E0,1.225055289E-1,1.250871645E-1,5.023684261E-1,-2.504559123E-1,4.249352384E0,-1.570458012E0
1.101100000E0,1.415228755E-1,1.156424996E-1,6.352937731E-1,-2.975548966E-1,4.328394693E0,-1.207298608E0
1.134466667E0,1.649008000E-1,1.052303344E-1,7.877822685E-1,-3.282010934E-1,4.407500426E0,-7.520316579E-1
1.167833333E0,1.940942122E-1,9.374054662E-2,9.362276542E-1,-3.495413737E-1,4.295293933E0,-3.444893599E-1
1.201200000E0,2.273783921E-1,8.190427339E-2,1.069241748E0,-3.509124463E-1,3.741825929E0,2.915498388E-1
1.234566667E0,2.654482782E-1,7.032298938E-2,1.190576046E0,-3.306067840E-1,3.687386550E0,1.047481978E0
1.267933333E0,3.068295002E-1,5.984178067E-2,1.309364604E0,-2.815059053E-1,2.678782969E0,1.768116937E0
1.301300000E0,3.528265427E-1,5.153716196E-2,1.381578717E0,-2.110553723E-1,1.769101739E0,2.102524871E0
1.334666667E0,3.990268533E-1,4.575735216E-2,1.414188390E0,-1.398188242E-1,6.552546726E-1,2.258391057E0
1.368033333E0,4.472000480E-1,4.220658576E-2,1.434621979E0,-6.248303011E-2,4.911158430E-1,2.412353151E0
1.401400000E0,4.947639600E-1,4.158765128E-2,1.438300408E0,2.300926953E-2,4.539942182E-1,2.628258300E0
1.434766667E0,5.431826285E-1,4.374207101E-2,1.467535727E0,1.117647296E-1,-3.715836423E-1,2.636273013E0
1.468133333E0,5.926975109E-1,4.904608424E-2,1.424816410E0,2.005439975E-1,-1.970274625E0,2.656791758E0
1.501500000E0,6.382653770E-1,5.712504044E-2,1.322915059E0,2.876905094E-1,-3.343671924E0,2.204049849E0
1.534866667E0,6.809800425E-1,6.824463090E-2,1.208196207E0,3.520241165E-1,-3.250490953E0,1.147860453E0
1.568233333E0,7.188923372E-1,8.061678315E-2,1.097131675E0,3.641008229E-1,-3.369729458E0,3.563699546E-1
1.601600000E0,7.541952963E-1,9.254229248E-2,9.918816217E-1,3.694866767E-1,-3.585467334E0,-9.103545897E-2
1.634966667E0,7.850839041E-1,1.052738607E-1,8.546957010E-1,3.648245131E-1,-3.975173408E0,-3.668490029E-1
1.668333333E0,8.112319894E-1,1.168882483E-1,7.242462217E-1,3.396952679E-1,-4.063616044E0,-9.246324026E-1
1.701700000E0,8.334152686E-1,1.279428583E-1,5.877080473E-1,3.066395475E-1,-4.101371181E0,-1.427092020E0
1.735066667E0,8.504517064E-1,1.373513275E-1,4.461975759E-1,2.440312647E-1,-4.391001509E0,-2.059538580E0
1.768433333E0,8.631915201E-1,1.442278780E-1,2.991176621E-1,1.674092375E-1,-4.507647326E0,-2.361193421E0
1.801800000E0,8.704128251E-1,1.485231039E-1,1.416410676E-1,8.681665167E-2,-4.348425019E0,-2.377286450E0
1.835166667E0,8.726437007E-1,1.500214425E-1,7.815048754E-3,7.639820457E-3,-4.277652685E0,-2.519855619E0
1.868533333E0,8.709343494E-1,1.490329346E-1,-1.376603824E-1,-7.895463419E-2,-4.460637322E0,-2.542794193E0
1.901900000E0,8.634571645E-1,1.447525366E-1,-2.958645341E-1,-1.655026812E-1,-4.520214391E0,-2.346657469E0
1.935266667E0,8.511903228E-1,1.379883890E-1,-4.374897750E-1,-2.345893876E-1,-4.051710027E0,-1.907252188E0
