Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.906697110E-1,8.397169793E-1,,,,
3.336666667E-2,4.906723667E-1,8.397443485E-1,-4.421691142E-6,3.642328916E-4,,
6.673333333E-2,4.906694159E-1,8.397412858E-1,-1.207472540E-4,-1.259288477E-4,-3.362514704E-3,-2.620159437E-2
1.001000000E-1,4.906643088E-1,8.397359449E-1,-2.169206645E-4,-1.182791171E-3,2.114243300E-3,-4.431295122E-3
1.334666667E-1,4.906549401E-1,8.396623542E-1,-2.922363367E-5,-8.960414186E-4,-7.898362399E-4,3.063164010E-2
1.668333333E-1,4.906623586E-1,8.396761491E-1,-1.372614338E-4,1.260578087E-3,-2.847502359E-3,2.998275991E-2
2.002000000E-1,4.906457801E-1,8.397464768E-1,-3.752920274E-4,1.278274917E-3,7.505314696E-3,1.857308528E-3
2.335666667E-1,4.906373141E-1,8.397614526E-1,3.617690885E-4,9.543048291E-4,1.092564005E-2,-1.937702511E-2
2.669333333E-1,4.906699222E-1,8.398101607E-1,5.704221742E-4,3.995576793E-4,-1.837450445E-2,3.150221924E-2
3.003000000E-1,4.906753803E-1,8.397881164E-1,-9.145701774E-4,2.263658785E-3,-1.709953336E-2,2.082409201E-2
3.336666667E-1,4.906088899E-1,8.399612222E-1,-9.671229273E-4,3.077674801E-3,6.604003886E-3,-7.316180283E-3
3.670333333E-1,4.906108410E-1,8.399934999E-1,-1.615290966E-5,7.812991507E-4,2.961934459E-2,-5.199717241E-2
4.004000000E-1,4.906078119E-1,8.400133609E-1,7.250865038E-4,-5.155890902E-5,1.132003935E-2,-5.005333635E-2
4.337666667E-1,4.906592284E-1,8.399900592E-1,1.052776227E-3,-2.464795460E-3,-4.268710420E-3,5.944714405E-3
4.671333333E-1,4.906780672E-1,8.398488769E-1,2.317410773E-4,-5.876585234E-4,-2.153903256E-2,5.932333428E-2
5.005000000E-1,4.906746933E-1,8.399508428E-1,-3.713530471E-4,2.820982766E-3,-1.493012178E-2,5.036515316E-2
5.338666667E-1,4.906532856E-1,8.400371305E-1,-7.751714150E-4,2.235777491E-3,-5.214433227E-3,-4.099656434E-2
5.672333333E-1,4.906229635E-1,8.401000437E-1,-7.426238799E-4,2.519916293E-4,5.632274629E-3,-4.470423325E-2
6.006000000E-1,4.906037278E-1,8.400539467E-1,-3.632283587E-4,-1.191336710E-3,1.446694561E-2,-3.266278195E-2
6.339666667E-1,4.905987240E-1,8.400205418E-1,2.087577928E-4,-1.560147302E-3,1.084320757E-2,-2.389465910E-3
6.673333333E-1,4.906176589E-1,8.399498329E-1,4.492850722E-4,-1.610362247E-3,5.504379434E-3,4.696336510E-3
7.007000000E-1,4.906287063E-1,8.399130770E-1,4.710708529E-4,-1.031527218E-3,-3.266141408E-4,1.155877262E-2
7.340666667E-1,4.906490950E-1,8.398809957E-1,5.002032476E-4,-9.004019027E-4,1.155585093E-2,-1.502163079E-2
7.674333333E-1,4.906620866E-1,8.398529902E-1,1.090412726E-3,-1.878126965E-3,1.504293919E-2,-2.055693149E-2
8.008000000E-1,4.907218619E-1,8.397556620E-1,1.729113800E-3,-2.620156236E-3,-1.780898643E-3,1.183601974E-2
8.341666667E-1,4.907774761E-1,8.396781384E-1,9.552453616E-4,-1.038615839E-3,-2.153494936E-2,4.247255008E-2
8.675333333E-1,4.907856086E-1,8.396863517E-1,1.158957210E-4,5.022707428E-4,-1.872641859E-2,3.258861422E-2
9.009000000E-1,4.907852102E-1,8.397116566E-1,-2.021397566E-4,9.923469588E-4,-7.897289528E-3,1.429184798E-2
9.342666667E-1,4.907721192E-1,8.397525743E-1,-4.403395893E-4,1.453774375E-3,4.725393083E-5,-1.769238822E-3
9.676333333E-1,4.907558249E-1,8.398086718E-1,-2.233810245E-4,1.002773054E-3,1.093392256E-2,-2.295140017E-2
1.001000000E0,4.907572122E-1,8.398194927E-1,3.305901584E-4,-2.256316925E-4,6.359995308E-3,7.058832873E-3
1.034366667E0,4.907778863E-1,8.397936147E-1,2.924955068E-4,1.139983257E-3,-1.247916214E-2,2.754222241E-3
