,t,f,e,s
0,0.0,92.58074948136,3.076172e-06,5061231.190256694
1,0.01,101.54017627656,-2.4389648000000002e-05,5551027.725678107
2,0.02,122.44550694809999,-1.5234375e-05,6693886.389386927
3,0.03,97.06046287896,2.4414e-08,5306129.457967401
4,0.04,106.01989412238001,-7.9321289e-05,5795926.236565391
5,0.05,98.55370364363999,-1.2182617e-05,5387762.375988687
6,0.06,92.58074948136,2.4414e-08,5061231.190256694
7,0.07,104.5266533577,-1.2182617e-05,5714293.318544103
8,0.08,89.59427684844,9.179686999999999e-06,4897965.840567276
9,0.09,98.55370364363999,-1.5234375e-05,5387762.375988687
10,0.1,95.5672265625,2.4414e-08,5224496.783122691
11,0.11,109.0063667553,-3.0273439999999997e-06,5959191.586254809
12,0.12,111.99284383643999,-9.130858999999999e-06,6122457.179120805
13,0.13,79.14160928856,-6.079102e-06,4326536.387124577
14,0.14,104.5266533577,-9.130858999999999e-06,5714293.318544103
15,0.15,97.06046287896,-2.1337891e-05,5306129.457967401
16,0.16,94.07399024604001,-3.659668e-05,5142864.108277982
17,0.17,97.06046287896,-2.1337891e-05,5306129.457967401
18,0.18,101.54017627656,6.12793e-06,5551027.725678107
19,0.19,107.51313043884,-1.2182617e-05,5877558.9114101
20,0.2,101.54017627656,3.076172e-06,5551027.725678107
21,0.21,109.0063667553,1.2231445e-05,5959191.586254809
22,0.22,101.54017627656,6.12793e-06,5551027.725678107
23,0.23,98.55370364363999,-6.079102e-06,5387762.375988687
24,0.24,104.5266533577,3.359375e-05,5714293.318544103
25,0.25,100.04693996009999,3.076172e-06,5469395.050833397
26,0.26,103.03341704124001,3.359375e-05,5632660.643699395
27,0.27,109.0063667553,-1.8286132999999998e-05,5959191.586254809
28,0.28,101.54017627656,2.4438477e-05,5551027.725678107
29,0.29,91.0875131649,-6.079102e-06,4979598.515411985
30,0.3,97.06046287896,-3.0273439999999997e-06,5306129.457967401
31,0.31,91.0875131649,3.076172e-06,4979598.515411985
32,0.32,98.55370364363999,-7.0166016e-05,5387762.375988687
33,0.33,89.59427684844,-6.079102e-06,4897965.840567276
34,0.34,104.5266533577,3.076172e-06,5714293.318544103
35,0.35,129.91169742684,3.076172e-06,7102050.24996363
36,0.36,103.03341704124001,-3.3544922e-05,5632660.643699395
37,0.37,104.5266533577,2.4414e-08,5714293.318544103
38,0.38,109.0063667553,-1.5234375e-05,5959191.586254809
39,0.39,107.51313043884,-9.130858999999999e-06,5877558.9114101
40,0.4,101.54017627656,-9.130858999999999e-06,5551027.725678107
41,0.41,91.0875131649,3.076172e-06,4979598.515411985
42,0.42,106.01989412238001,-1.8286132999999998e-05,5795926.236565391
43,0.43,101.54017627656,-6.079102e-06,5551027.725678107
44,0.44,106.01989412238001,-6.079102e-06,5795926.236565391
45,0.45,103.03341704124001,9.179686999999999e-06,5632660.643699395
46,0.46,88.10103608376,-1.5234375e-05,4816332.922545988
47,0.47,98.55370364363999,2.4414e-08,5387762.375988687
48,0.48,98.55370364363999,-3.0273439999999997e-06,5387762.375988687
49,0.49,97.06046287896,2.4414e-08,5306129.457967401
50,0.5,101.54017627656,-9.130858999999999e-06,5551027.725678107
51,0.51,106.01989412238001,-1.2182617e-05,5795926.236565391
52,0.52,109.0063667553,-3.0493164e-05,5959191.586254809
53,0.53,98.55370364363999,3.076172e-06,5387762.375988687
54,0.54,107.51313043884,-2.4389648000000002e-05,5877558.9114101
55,0.55,98.55370364363999,-3.0273439999999997e-06,5387762.375988687
