,t,f,e,s
0,0.0,94.07399024604001,3.9208984e-06,5142864.108277982
1,0.01,113.4860801529,2.7001953000000003e-06,6204089.853965515
2,0.02,106.01989412238001,1.4794922e-06,5795926.236565391
3,0.03,110.49960751998,2.7001953000000003e-06,6040824.504276097
4,0.04,111.99284383643999,2.7001953000000003e-06,6122457.179120805
5,0.05,107.51313043884,4.53125e-06,5877558.9114101
6,0.06,89.59427684844,3.3105468999999998e-06,4897965.840567276
7,0.07,106.01989412238001,1.784668e-06,5795926.236565391
8,0.08,120.95227063163999,6.3623047e-06,6612253.714542218
9,0.09,110.49960751998,3.3105468999999998e-06,6040824.504276097
10,0.1,85.11455900262,2.7001953000000003e-06,4653067.329679992
11,0.11,110.49960751998,3.6157226999999997e-06,6040824.504276097
12,0.12,104.5266533577,-3.4033203e-06,5714293.318544103
13,0.13,107.51313043884,3.6157226999999997e-06,5877558.9114101
14,0.14,120.95227063163999,4.8364257999999995e-06,6612253.714542218
15,0.15,109.0063667553,3.6157226999999997e-06,5959191.586254809
16,0.16,120.95227063163999,5.639648e-07,6612253.714542218
17,0.17,126.92522479392,2.3950195e-06,6938784.900274211
18,0.18,122.44550694809999,5.4467773e-06,6693886.389386927
19,0.19,116.47255723404,3.0053711e-06,6367355.446831511
20,0.2,103.03341704124001,-3.515625e-07,5632660.643699395
21,0.21,104.5266533577,-3.7084961e-06,5714293.318544103
22,0.22,143.35083761964,7.5830078e-06,7836745.053095749
23,0.23,92.58074948136,2.3950195e-06,5061231.190256694
24,0.24,116.47255723404,2.7001953000000003e-06,6367355.446831511
25,0.25,106.01989412238001,2.7001953000000003e-06,5795926.236565391
26,0.26,135.88465158912,-6.567383e-07,7428581.435695624
27,0.27,104.5266533577,4.53125e-06,5714293.318544103
28,0.28,103.03341704124001,3.0053711e-06,5632660.643699395
29,0.29,109.0063667553,2.5878909999999997e-07,5959191.586254809
30,0.3,74.66189589096,3.3105468999999998e-06,4081638.1194138704
31,0.31,111.99284383643999,1.4794922e-06,6122457.179120805
32,0.32,94.07399024604001,4.8364257999999995e-06,5142864.108277982
33,0.33,82.1280863697,2.0898437e-06,4489801.979990574
34,0.34,89.59427684844,4.2260742e-06,4897965.840567276
35,0.35,86.6077997673,3.9208984e-06,4734700.247701279
36,0.36,141.85760130318,5.4467773e-06,7755112.3782510385
37,0.37,225.47892398934,1.4794922e-06,12326547.03308632
38,0.38,268.78282609710004,8.4985352e-06,14693897.278525252
39,0.39,288.19491600396003,2.0898437e-06,15755123.024212785
40,0.4,267.28958533241996,6.3623047e-06,14612264.36050396
41,0.41,282.22196628989997,6.0571289e-06,15428592.081657365
42,0.42,291.1813930851,2.7001953000000003e-06,15918388.617078781
43,0.43,274.75577581116,6.9726562000000005e-06,15020428.221080665
44,0.44,274.75577581116,8.4985352e-06,15020428.221080665
45,0.45,292.67462940155997,8.1933594e-06,16000021.291923488
46,0.46,255.34368145608002,6.3623047e-06,13959202.232216556
47,0.47,270.27606241356,3.3105468999999998e-06,14775529.953369958
48,0.48,280.72872997344,5.4467773e-06,15346959.406812659
49,0.49,276.24901212762,6.667480500000001e-06,15102060.895925375
50,0.5,247.87749542555997,6.0571289e-06,13551038.614816427
51,0.51,258.33015853722,6.3623047e-06,14122467.82508255
52,0.52,249.37073174202,5.1416016e-06,13632671.28966114
53,0.53,240.41130494682002,6.0571289e-06,13142874.754239727
54,0.54,256.83692222075996,5.4467773e-06,14040835.150237838
55,0.55,244.89101834442,5.1416016e-06,13387773.021950431
56,0.56,241.90454126327998,7.5830078e-06,13224507.429084435
57,0.57,238.91806418214,6.0571289e-06,13061241.836218439
58,0.58,216.51949719414,2.3950195e-06,11836750.49766491
59,0.59,220.99921059174,3.9208984e-06,12081648.765375614
60,0.6,212.03978379654,5.4467773e-06,11591852.229954204
61,0.61,226.97216475401999,7.5830078e-06,12408179.951107608
62,0.62,223.98568767287998,1.0939941399999999e-05,12244914.35824161
63,0.63,213.53302011300002,5.4467773e-06,11673484.904798914
64,0.64,219.50597427528,3.9208984e-06,12000016.090530906
65,0.65,216.51949719414,4.8364257999999995e-06,11836750.49766491
66,0.66,192.62768944146,3.0053711e-06,10530626.241090093
67,0.67,182.1750263298,6.0571289e-06,9959197.03082397
68,0.68,188.14797604385998,3.6157226999999997e-06,10285727.973379385
69,0.69,200.09387992019998,4.53125e-06,10938790.101666793
70,0.7,194.12093020614,9.108886700000001e-06,10612259.159111379
71,0.71,186.6547397274,-6.567383e-07,10204095.298534676
72,0.72,165.74940905586,3.9208984e-06,9061236.634825857
73,0.73,177.6953129322,3.6157226999999997e-06,9714298.763113266
74,0.74,183.66826264626002,6.667480500000001e-06,10040829.70566868
75,0.75,174.70883585106,5.1416016e-06,9551033.170247268
76,0.76,185.16150341093999,5.1416016e-06,10122462.623689966
77,0.77,174.70883585106,2.3950195e-06,9551033.170247268
78,0.78,165.74940905586,3.9208984e-06,9061236.634825857
79,0.79,179.18854924866,5.4467773e-06,9795931.437957974
80,0.8,162.76293197472,6.0571289e-06,8897971.04195986
81,0.81,180.68178556512,5.1416016e-06,9877564.112802684
82,0.82,173.2155995346,-3.4033203e-06,9469400.495402558
83,0.83,170.22912245345998,5.1416016e-06,9306134.90253656
84,0.84,164.2561727394,3.9208984e-06,8979603.959981147
85,0.85,155.29674149598,5.4467773e-06,8489807.181383157
86,0.86,170.22912245345998,2.7001953000000003e-06,9306134.90253656
87,0.87,140.36436498672,3.6157226999999997e-06,7673479.703406329
88,0.88,144.84407838432,-2.4877929999999997e-06,7918377.9711170355
89,0.89,129.91169742684,4.2260742e-06,7102050.24996363
90,0.9,149.32379178192,3.0053711e-06,8163276.238827741
91,0.91,138.87112422204,4.2260742e-06,7591846.785385042
92,0.92,158.28321857712,4.8364257999999995e-06,8653072.774249153
93,0.93,146.33731470077998,4.8364257999999995e-06,8000010.645961744
94,0.94,152.31026886305997,3.0053711e-06,8326541.831693736
95,0.95,150.81702809838,2.3950195e-06,8244908.913672451
96,0.96,143.35083761964,5.1416016e-06,7836745.053095749
97,0.97,149.32379178192,2.7001953000000003e-06,8163276.238827741
98,0.98,144.84407838432,4.53125e-06,7918377.9711170355
99,0.99,131.40493819152,3.6157226999999997e-06,7183683.167984917
100,1.0,131.40493819152,5.751953100000001e-06,7183683.167984917
101,1.01,140.36436498672,2.0898437e-06,7673479.703406329
102,1.02,167.24264537232,4.2260742e-06,9142869.309670566
103,1.03,137.37788790558,6.9726562000000005e-06,7510214.110540332
104,1.04,132.89817450798,-3.4033203e-06,7265315.842829627
105,1.05,135.88465158912,2.3950195e-06,7428581.435695624
106,1.06,137.37788790558,-9.619141000000002e-07,7510214.110540332
107,1.07,128.41846111037998,9.4140625e-06,7020417.575118919
108,1.08,120.95227063163999,3.3105468999999998e-06,6612253.714542218
109,1.09,134.39141082444002,3.0053711e-06,7346948.517674337
110,1.1,119.45903431518,1.784668e-06,6530621.039697508
111,1.11,134.39141082444002,2.7001953000000003e-06,7346948.517674337
112,1.12,116.47255723404,3.0053711e-06,6367355.446831511
113,1.13,113.4860801529,3.6157226999999997e-06,6204089.853965515
114,1.14,123.93874771277999,3.9208984e-06,6775519.307408214
115,1.15,109.0063667553,2.7001953000000003e-06,5959191.586254809
116,1.16,132.89817450798,3.0053711e-06,7265315.842829627
117,1.17,129.91169742684,3.3105468999999998e-06,7102050.24996363
118,1.18,123.93874771277999,5.1416016e-06,6775519.307408214
119,1.19,141.85760130318,6.0571289e-06,7755112.3782510385
120,1.2,119.45903431518,4.2260742e-06,6530621.039697508
121,1.21,137.37788790558,4.53125e-06,7510214.110540332
122,1.22,141.85760130318,7.5830078e-06,7755112.3782510385
123,1.23,109.0063667553,3.9208984e-06,5959191.586254809
124,1.24,122.44550694809999,4.2260742e-06,6693886.389386927
125,1.25,110.49960751998,2.3950195e-06,6040824.504276097
126,1.26,135.88465158912,3.3105468999999998e-06,7428581.435695624
127,1.27,98.55370364363999,2.3950195e-06,5387762.375988687
128,1.28,107.51313043884,4.53125e-06,5877558.9114101
129,1.29,129.91169742684,2.7001953000000003e-06,7102050.24996363
130,1.3,114.97932091758001,4.2260742e-06,6285722.771986803
131,1.31,120.95227063163999,2.0898437e-06,6612253.714542218
132,1.32,126.92522479392,3.9208984e-06,6938784.900274211
133,1.33,144.84407838432,2.3950195e-06,7918377.9711170355
134,1.34,120.95227063163999,1.1743164000000001e-06,6612253.714542218
135,1.35,106.01989412238001,5.751953100000001e-06,5795926.236565391
136,1.36,117.9657935505,4.53125e-06,6448988.1216762215
137,1.37,114.97932091758001,2.7001953000000003e-06,6285722.771986803
138,1.38,107.51313043884,5.751953100000001e-06,5877558.9114101
139,1.39,120.95227063163999,4.8364257999999995e-06,6612253.714542218
140,1.4,111.99284383643999,4.8364257999999995e-06,6122457.179120805
141,1.41,91.0875131649,1.784668e-06,4979598.515411985
142,1.42,122.44550694809999,8.691406000000001e-07,6693886.389386927
143,1.43,107.51313043884,3.9208984e-06,5877558.9114101
144,1.44,111.99284383643999,2.3950195e-06,6122457.179120805
145,1.45,80.63484560502,3.3105468999999998e-06,4408169.061969287
146,1.46,116.47255723404,2.3950195e-06,6367355.446831511
147,1.47,110.49960751998,4.2260742e-06,6040824.504276097
148,1.48,86.6077997673,3.9208984e-06,4734700.247701279
149,1.49,122.44550694809999,3.0053711e-06,6693886.389386927
150,1.5,110.49960751998,3.3105468999999998e-06,6040824.504276097
151,1.51,91.0875131649,4.2260742e-06,4979598.515411985
152,1.52,107.51313043884,3.6157226999999997e-06,5877558.9114101
153,1.53,107.51313043884,1.784668e-06,5877558.9114101
154,1.54,116.47255723404,3.3105468999999998e-06,6367355.446831511
155,1.55,100.04693996009999,5.639648e-07,5469395.050833397
156,1.56,106.01989412238001,3.9208984e-06,5795926.236565391
157,1.57,100.04693996009999,3.6157226999999997e-06,5469395.050833397
158,1.58,103.03341704124001,5.639648e-07,5632660.643699395
159,1.59,113.4860801529,2.3950195e-06,6204089.853965515
160,1.6,101.54017627656,3.9208984e-06,5551027.725678107
161,1.61,104.5266533577,3.0053711e-06,5714293.318544103
162,1.62,106.01989412238001,4.2260742e-06,5795926.236565391
163,1.63,111.99284383643999,4.2260742e-06,6122457.179120805
164,1.64,123.93874771277999,3.6157226999999997e-06,6775519.307408214
165,1.65,109.0063667553,2.3950195e-06,5959191.586254809
166,1.66,125.43198402923998,4.8364257999999995e-06,6857151.982252923
167,1.67,101.54017627656,3.3105468999999998e-06,5551027.725678107
168,1.68,86.6077997673,3.9208984e-06,4734700.247701279
169,1.69,109.0063667553,3.3105468999999998e-06,5959191.586254809
170,1.7,100.04693996009999,4.53125e-06,5469395.050833397
