,t,f,e,s
8,0.08,91.0875131649,2.856445e-06,4979598.515411985
100,1.0,104.5266533577,2.856445e-06,5714293.318544103
26,0.26,125.43198402923998,2.856445e-06,6857151.982252923
210,2.1,915.3548405983801,2.856445e-06,50040883.178653985
9,0.09,103.03341704124001,2.856445e-06,5632660.643699395
78,0.78,94.07399024604001,2.856445e-06,5142864.108277982
58,0.58,95.5672265625,5.908203e-06,5224496.783122691
39,0.39,103.03341704124001,5.908203e-06,5632660.643699395
116,1.16,82.1280863697,5.908203e-06,4489801.979990574
214,2.14,979.56407337768,5.908203e-06,53551092.087801725
93,0.93,97.06046287896,5.908203e-06,5306129.457967401
63,0.63,97.06046287896,8.959961e-06,5306129.457967401
14,0.14,101.54017627656,8.959961e-06,5551027.725678107
134,1.34,104.5266533577,1.2011719e-05,5714293.318544103
124,1.24,113.4860801529,1.2011719e-05,6204089.853965515
74,0.74,109.0063667553,1.5063477e-05,5959191.586254809
70,0.7,94.07399024604001,1.8115234000000002e-05,5142864.108277982
117,1.17,104.5266533577,1.8115234000000002e-05,5714293.318544103
212,2.12,966.12493318488,2.1166992e-05,52816397.28466961
29,0.29,104.5266533577,2.1166992e-05,5714293.318544103
77,0.77,101.54017627656,2.1166992e-05,5551027.725678107
13,0.13,117.9657935505,2.1166992e-05,6448988.1216762215
18,0.18,88.10103608376,2.421875e-05,4816332.922545988
216,2.16,1024.3612118019,2.7270508000000004e-05,56000075.00808537
220,2.2,1081.10424965424,3.3374023e-05,59102119.81347983
218,2.18,1061.69215974738,3.3374023e-05,58040894.0677923
101,1.01,122.44550694809999,3.9477539e-05,6693886.389386927
224,2.24,1088.57044013298,3.9477539e-05,59510283.67405654
227,2.27,1115.44872051858,4.2529297e-05,60979673.28032078
219,2.19,1075.13129994018,4.2529297e-05,58775588.87092442
221,2.21,1094.5433898470399,4.5581055e-05,59836814.61661195
233,2.33,1166.21881310508,4.5581055e-05,63755187.38633641
225,2.25,1082.59749041892,4.8632812e-05,59183752.731501125
22,0.22,110.49960751998,4.8632812e-05,6040824.504276097
226,2.26,1103.5028210904602,5.168457e-05,60326611.39520995
228,2.28,1119.9284383644,5.7788086e-05,61224571.791208066
223,2.23,1072.14482285904,6.3891602e-05,58612323.278058425
229,2.29,1152.77966846406,6.3891602e-05,63020492.34002771
237,2.37,1212.5091878457602,6.9995117e-05,66285802.98146476
234,2.34,1196.08357057182,7.3046875e-05,65387842.58546664
232,2.32,1169.205285738,8.220214799999999e-05,63918452.73602582
246,2.46,1340.9276489561403,8.220214799999999e-05,73306220.55658369
238,2.38,1240.88070899604,8.5253906e-05,67836825.50575028
222,2.22,1099.02310324464,8.5253906e-05,60081712.88432266
230,2.3,1146.80671875,8.8305664e-05,62693961.3974723
243,2.43,1276.71841617684,8.8305664e-05,69796011.64743593
239,2.39,1261.78603966758,9.1357422e-05,68979684.1694591
241,2.41,1275.2251798603802,9.440918000000001e-05,69714378.97259122
240,2.4,1263.27927598404,9.7460937e-05,69061316.8443038
236,2.36,1224.4550917221,0.000103564453,66938865.109752156
247,2.47,1327.48850431512,0.000103564453,72571525.51027498
244,2.44,1321.5155546010599,0.000109667969,72244994.56771955
250,2.5,1372.2856427393401,0.00011271972700000001,75020508.43055862
